STRUCTURE,STRUCTURE_ID,ACTION,FREQ,L_MEASURE,L_POSITION,L_INSTR,L_DENOM,L_CURR_TYPE,L_PARENT_CTY,L_REP_BANK_TYPE,L_REP_CTY,L_CP_SECTOR,L_CP_COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,CAD,D,5J,A,CA,A,5J,2026-Q1,400,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,GBP,D,5J,A,GB,A,5J,2026-Q1,300,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,TO1,A,5J,A,CA,A,5J,2026-Q1,1000,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,TO1,A,5J,A,GB,A,5J,2026-Q1,900,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,TO1,A,5J,A,US,A,5J,2026-Q1,1000,A,N
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,TO1,F,5J,A,CA,A,5J,2026-Q1,500,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,TO1,F,5J,A,GB,A,5J,2026-Q1,500,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,TO1,F,5J,A,US,A,5J,2026-Q1,500,A,N
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,UN9,U,5J,A,CA,A,5J,2026-Q1,100,A,N
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,UN9,U,5J,A,GB,A,5J,2026-Q1,100,A,N
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,UN9,U,5J,A,US,A,5J,2026-Q1,100,A,N
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,C,A,USD,D,5J,A,US,A,5J,2026-Q1,400,A,N
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,CHF,F,5J,A,GB,A,5J,2026-Q1,100,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,EUR,F,5J,A,GB,A,5J,2026-Q1,-50,A,N
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,GBP,D,5J,A,GB,A,5J,2026-Q1,450,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,GBP,D,5J,A,GB,B,5J,2026-Q1,300,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,GBP,D,5J,A,GB,N,5J,2026-Q1,150,A,N
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,GBP,F,5J,A,GB,A,5J,2026-Q1,100,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,JPY,F,5J,A,GB,A,5J,2026-Q1,100,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,TO1,F,5J,A,GB,A,5J,2026-Q1,400,A,F
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,TO3,F,5J,A,GB,A,5J,2026-Q1,50,A,N
dataflow,BIS:WS_LBS_D_PUB(1.0),I,Q,S,L,A,USD,F,5J,A,GB,A,5J,2026-Q1,100,A,F
